Dept + Number,Professor,Median Grade,Semester (Ex: SP21),# of Students,Notes
SEARCH BEFORE ADDING YOUR CLASS,,,,,
AAS 2130,Chang,A,FA21,52,"crosslisted with AMST 2640, HIST 2640"
AAS 2130,Moghimi,A,FA21,,
AAS 2130,van Es,B+,SP21,239,
AEM 1200,Sauer,A-,SP22,,
AEM 2010,Moghimi,A,SP22,145,
AEM 2100,Van Es,A,FA21,252,
AEM 2100,Van Es,B+,FA21,,
AEM 2200,Perez,A-,FA19,247,
AEM 2200,Perez,A-,FA21,170,
AEM 2210,Riley,A,SP21,,
AEM 2210,Riley,A-,SP22,211,
AEM 2210,Szpiro,B+,FA21,201,
AEM 2240,Addoum ,A-,SP22,,
AEM 2240,Hwang,A+,SP21,262,
AEM 2241,Curtis,A-,FA21,3152,
AEM 2310,Rickard,A-,SP22,48,
AEM 2400,Yang,A+,FA21,340,
AEM 2420,Shu,A-,SP22,272,"may change professors every semester as this course tends to do that, if not Prof Shu is gr8 exams can be tough though"
AEM 2600,Alexander,A,FA20,282,A+ if > 100
AEM 2600,Alexander,B+,FA21,260,
AEM 2601,Scur,A-,SP22,272,
AEM 2700,Lenox,A-,FA21,113,
AEM 2700,MULTIPLE,A-,SP22,173,"lecture quality varies by professor depending on which section you're in, good amount of group/presentation/writing assignments"
AEM 2820,Moghimi,A,SP22,40,
AEM 3100,Van Es,A-,FA21,41,
AEM 3200,"Klausner, Sherwyn, Wagner",A-,FA21,167,
AEM 3205,Doris,A,FA21,92,
AEM 3360,"
Sethuraman",A,SP19,89,
AEM 3360,Mani,A-,FA21,120,
AEM 3370,Yeung,A,SP21,24,
AEM 3440,Shields,A,FA20,63,
AEM 3440,Shu,A-,FA21,47,
AEM 4100,Alexander,A,FA21,23,
AEM 4140,Fisher,A+,,,
AEM 4150,Kaiser,A,FA21,91,
AEM 4160,Liaukonyte,A,SP21,52,
AEM 4160,Liaukonyte,A,SP21,50,
AEM 4300,Chu,A,SP21,53,
AEM 4670,Watugala,A,FA21,84,
AEP 1100,MacMahon,B+,FA19,28,
AEP 1200,Kourkoutis,B+,FA21,46,crosslisted with ENGRI 1200
AEP 2550,Fuchs,A,FA21,26,Crosslisted with ENGRD 2550
AEP 2550,Fuchs,A-,SP22,,
AEP 3200,Kusse,B,SP22,55,
AEP 3200,Kourkoutis,B+,FA21,49,
AEP 3330,Wickham,B+,FA19,32,
AEP 3330,Wickham,B+,FA21,24,
AEP 3550,Pollack,A-,SP21,25,
AEP 3610,Fuchs,B+,FA21,23,
AEP 3620,Wise,B+,SP21,23,
AEP 4200,Kusse,A,FA21,36,
AEP 4200,Kusse,A-,SP21,27,
AEP 4500,Fennie,A-,FA19,22,
AMST 1115,Kriner,B+,FA21,247,Be prepared to read a lot if you take class with this professor (crosslist w/ GOVT 1111)
AMST 2001,Earle,A,SP22,329,
AMST 2001,Corey Earle,A+,FA20,667,
AMST 2001,Earle,A+,SP21,667,
AMST 3032,Washington,A,FA19,~17,
ANSC 3300,Won,A,SP21,42,
ANSC 3300,Won,A-,SP22,50,
ANSC 3410,Boisclair,A-,SP22,18,
ANSC 3920,Boisclair,A-,SP21,32,
ANSC 4020,Quirk,A,SP21,10,
ANSC 4140,Cherney,A,SP21,40,
ANSC 4410,McFadden,B+,SP22,14,
ANTHR 1400,Fiskesjö,A-,SP21,79,
ANTHR 1900,Villenas,A+,FA21,18,
ANTHR 2310,Arcadi,A,FA20,104,
ANTHR 2400,Raheja,B+,SP21,,
ANTHR 2420,Nadasdy,A-,FA20,70,"Crosslisted with AIIS 2420, BSOC 2420"
ANTHR 2430,Smith,A-,FA20,,
ANTHR 2465,Smith,A-,SP22,20,"Crosslisted with ARKEO 2465, NES 2465"
ANTHR 2482,Ahmann,A,SP21,22,
ARAB 1202,Shahdaa,A-,SP22,18,
ARKEO 2668,Monroe,A,SP22,149,
ARTH 1100,Robinson,A,FA21,50,
ASIAN 1105 (FWS: Autobiograph Trad China),Son,A-,FA20,18,
ASIAN 1111,Burgess,A,FA18,64,
ASIAN 2208,Fuhrmann,A+,FA21,28,many guest lecturers. prof is an easy grader
ASIAN 2211,Campana,A,FA21,80,
ASIAN 2212,Admussen,A,SP22,122,
ASIAN 3312,Taylor,A,FA21,19,"crosslisted with HIST 3312, AMST 3312"
ASIAN 3315,Campana,A,FA20,29,
ASTRO 1101,Kaltnegger,A,FA21,,
ASTRO 1195,Stacey,B+,FA21,11,
ASTRO 1700,Tagliacozzo/Squyres,A-,FA19,92,Squyres no longer teaches at Cornell
ASTRO 2201,Battaglia,A,SP21,58,
ASTRO 2211,Riechers,A-,SP21,29,
ASTRO 2212,Nicholson,B+,SP21,14,
ASTRO 3334,Lloyd,A-,SP22,13,
ASTRO 3340,Chernoff,A,FA21,20,
BEE 2000,Hess,A,SP21,148,
BEE 2600,March,B+,FA19,27,
BEE 3299,Truhlar,A,FA17,90,
BEE 3299,Richards,A+,SP21,133,
BEE 3400,Ma,A,SP21,34,
BEE 3600,Barstow,A,SP21,38,
BEE 4530,Datta,A+,SP21,20,
BEE 4730,Walter,A-,FA18,49,
BEE 4750,Anderson,A-,FA18,43,
BIOAP 3110,Roberson / Sethupathy,A-,FA21,67,
BIOAP 3160,White,A-,SP21,38,
BIOAP 4140,Weiland/Linder,B+,SP22,28,"Crosslisted with BIOMS 4140, BIONB 4140"
BIOEE 1540,Monger,A-,FA21,891,
BIOEE 1610,St. Juliana,B+,FA20,231,
BIOEE 1610,St. Juliana,B+,FA21,282,"ta's make or break this class, multiple lecturers"
BIOEE 1610,Howarth,B+,SP21,227,
BIOEE 1780,"Drake, Searle et al.",A,FA21,231,there are a lot of professors on the course staff
BIOEE 1781,Hernandez,A-,FA19,26,
BIOEE 2070,Fletcher,A,FA18,34,
BIOEE 2740,Bemis,A+,SP21,40,No lab practicals in SP21
BIOEE 4500,Searle,B+,FA19,,
BIOEE 4760,Bemis,A,FA20,24,
BIOG 1440,Buchon/Selvaraj/Shapleigh,B,FA21,280,
BIOG 1440,"Soloway, Gilbert, Buchon",B,SP22,206,
BIOG 1445,Campbell,B+,FA21,44,
BIOG 1500,Sarvary,A,SP22,356,
BIOG 3500,Sarvary,A,FA20,15,
BIOMG 1290,Aquadro,A,SP22,126,"no longer giving out free dna tests, lectures are highkey p boring, ta's do all the grading but they seem nice"
BIOMG 1350,Huffaker,B,SP21,389,
BIOMG 1350,"Fromme, Liu",B+,SP22,367,
BIOMG 2800,Fox/Blake,B,SP22,98,
BIOMG 2800,Goldberg/Lee/Richards,B+,FA20,217,
BIOMG 2801,Blake,B+,FA18,142,
BIOMG 3300,Blankenship,B+,FA20,233,
BIOMG 3310,Feigenson,B+,FA19,221, (retired Fall 2019)
BIOMG 3340,Blankenship,A,SP21,14,
BIOMG 3350,Mao,A-,SP21,103,
BIOMG 3850,Simoes-Costa,A,FA21,19,
BIOMG 4380,Ke,A-,FA20,27,
BIOMG 4380,Ke,A-,FA21,13,
BIOMG 4390,Kwak,A,SP22,25,
BIOMG 4400,Jesch,A,SP22,33,
BIOMI 1120,Buckley,A-,FA21,,
BIOMI 2600,Winans,B+,SP22,23,
BIOMI 2900,Zinder/Doerr,A,SP20,141,
BIOMI 3210,Hay,B+,FA19,24,
BIOMI 3500,Hewson,A,SP22,32,
BIOMI 4040,Debbie,A,SP21,36,
BIOMS 4150,Rhoades,A,FA20,128,
BIONB 2220,Dietz,A-,SP22,117,
BME 2000,Doerschuk,B+,FA20,45,
BME 2010,Saikia,B+,FA21,44,
BME 2081,Sauve,A+,FA21,40,
BME 2110,Lammerding,B,SP21,,
BME 2210,Saikia,B+,FA21,48,no curve F21
BME 2310,Zipfel,A-,SP21,43,
BME 3010,Saikia,B+,FA21,53,no curve F21
BME 3020,Brito,B+,SP21,51,
BME 3030,Adie,A-,FA21,39,
BME 4020,Vlaminck,A,SP21,,Best BME Class! Taught with Vlaminck!
BSOC 2061,Parreñas,A,SP22,60,
BSOC 2101,Harrington,A,FA21,215,
BSOC 2101,Harrington,A,SP21,183,
BSOC 2561,Hinrichs,A-,FA20,22,
BTRY 3080,Kato,A-,SP21,107,"crosslisted with ILRST 3080, STSCI 3080"
BTRY 3080,Bunea,A-,SP21,91,
BTRY 4030,Giles,B+,FA18,64,
BTRY 4381,Yu,A-,FA21,24,
CAPS 4001,Xu,A-,FA20,14,
CAPS 4827,Carlson,A,FA20,14,
CEE 3040,Daziano,A-,FA20,132,
CEE 3040,Daziano,B+,FA21,87,
CEE 3310,Li,A-,FA21,76,
CEE 3310,Cowen,B,FA17,70,
CEE 3410,Gadikota,A,FA21,37,
CEE 3710,Nair,A-,SP21,38,
CEE 4090,Multiple (Research),A,FA19,12,
CEE 4510,Richardson,A-,FA17,44,
CEE 4725,Warner,A,FA21,22,
CHEM 1560,Lorey,B,FA19,124,
CHEM 1560,Lorey,B+,FA21,130,
CHEM 1570,Kinsland,B,SP21,205,
CHEM 2070,Lee,B,FA21,784,
CHEM 2080,DiStasio,B,SP22,720,
CHEM 2090,Musser,B,FA21,436,
CHEM 2150,Davis,B+,FA20,60,
CHEM 2150,Davis,B+,FA21,77,"If you don't study a lot, be prepared to take some L's"
CHEM 2510,Kinsland,B,FA21,259,
CHEM 2900,Lorey,B+,SP22,73,
CHEM 3010,Hyster,B+,SP22,28,
CHEM 3570,Lin,A-,FA21,542,The median was actually a B/B+ but he put in a A- on our transcript because of weird grading bc of the finals week covid situation and INC so :/
CHEM 3570,Ganem,B,FA20,543,
CHEM 3580,Fors,B,SP21,454,
CHEM 3590,Lin,B+,SP21,54,
CHEM 3600,Milner,B+,FA21,35,
CHEM 3890,Ananth,A-,FA19,93,
CHEM 3890,Ezra,B+,FA21,69,
CHEM 3900,Ezra,B+,SP22,65,
CHEM 4100,Wilson,B+,SP21,57,
CHEM 4610,Various (Research Credit),A,FA19,20,
CHEME 2880,Paszek,B+,FA19,47,
CHEME 3230,Hormozi,B+,SP22,39,
CHIN 1101,Divo,A-,FA18,45,
CHIN 1102,Divo,A-,SP22,40,
CHIN 2201,Tang/Li,A-,FA20,28,
CHIN 2209,George,A-,FA21,42,
CHIN 3301,Li,A-,FA20,13,
CHIN 4411,Teng,A-,FA20,13,
CLASS 1531,Hunt,A+,SP21,16,
CLASS 1531 (FWS: Greek Myth),Gallagher,A,FA20,49,
CLASS 2604,Clary,A,FA21,182,
COML 1104 (FWS: Reading Films),Monroe,A-,FA21,34,
COML 1105 (FWS: Books with Big Ideas),Kohlbry et al.,A,SP21,50,
COML 1105 (FWS: Books with Big Ideas),Lambert,A,SP21,,
COML 1105 (FWS: Books with Big Ideas),Various,A+,SP22,93,
COML 1106 (FWS: Robots),Karmin et al.,A-,FA20,68,
COML 1109,Various (FWS),A-,FA17,,
COML 1119 (FWS: Russian Lit),Krivitsky,A,FA21,17,
COML 1119 (FWS: Russian Lit),Krivistky,A-,FA20,18,
COML 2050,Pollak,A,SP21,11,
COML 2050,Pollak,A,SP22,15,
COMM 2200,Humphreys,A-,FA18,95,Cookie Cutter Essays
COMM 2850,Schuldt,B+,SP22,86,Crosslisted with STS 2851
CRP 1100,Campanella,A,SP21,55,
CRP 3840,Schmidt,B+,FA20,32,
CS 1110,Lee/Bracy,B,SP22,460,
CS 1110,White,B+,SP19,743,
CS 1112,Fan,B,FA21,,
CS 1112,Fan,B,SP22,,
CS 1380,Williams,A,SP21,49,
CS 2110,Gries/Muhlberger,B,FA20,455,Crosslisted with ENGRD 2110
CS 2110,Gries/Muhlberger,B,FA21,402,
CS 2110,Gries/Clarkson,B,SP22,570,
CS 2112,Myers,A-,FA20,84,
CS 2112,Myers,A-,FA21,57,
CS 2800,Schalekamp,B+,FA21,411,
CS 2800,van Zuylen,B+,FA21,321,
CS 2800,van Zuylen,B+,SP22,366,
CS 2802,Halpern,A-,FA20,29,
CS 2850,Benson/Easley,A-,FA19,,
CS 2850,Halpern/Easley,A-,FA21,519,
CS 3110,Clarkson,A,SP21,421,No exams in SP21
CS 3110,Clarkson,A-,FA20,321,
CS 3110,Clarkson,B+,FA21,384,
CS 3110,Foster/Hsu,B+,SP22,311,
CS 3220,Fan,A-,FA21,32,
CS 3410,Bracy,B+,FA20,146,
CS 3410,Bracy,B+,FA21,242,
CS 3410,Bracy,B+,SP21,268,
CS 3410,Bracy,B+,SP22,284,
CS 3420,Napp,A-,FA21,181,"Crosslisted with ECE 3140, no exams"
CS 3420,Napp,A-,SP22,168,"didn't receive grades for months, rubric given for final project after the deadline"
CS 4110,Sampson,A-,FA21,98,Hard but curved like crazy
CS 4110,Foster,B+,FA20,78,
CS 4120,Myers,A,SP21,46,
CS 4120,Myers,A-,SP22,51,
CS 4152,White,A,SP21,39,
CS 4160,Clarkson,A,SP22,74,"phenomenal, unlikely to be offered in the next two years"
CS 4220,Bindel,A,SP22,45,
CS 4300,Danescu-Niculescu-Mizil,A,SP21,206,Crosslisted with INFO 4300
CS 4320,Trummer,A,FA21,182,
CS 4320,Trummer,A+,SP21,220,lol
CS 4410,RVR,A-,SP22,274,Predetermined grade cutoffs before the class started
CS 4410,Alvisi,B,SP21,276,
CS 4411,RVR + FBS,A,FA19,24,
CS 4411,RVR,A,SP22,72,Predetermined grade cutoffs before the class started
CS 4414,Birman,A,FA20,96,
CS 4414,Birman,B+,FA21,110,
CS 4450,Agarwal,A-,SP21,227,no pop quizzes this semester
CS 4620,Marschner/Davis,A-,FA20,163,
CS 4670,Hariharan,A-,SP22,240,95%+ raw = A+
CS 4700,Selman,B+,FA21,147,
CS 4700,Hirsh,B+,SP21,140,
CS 4701,Selman,A,FA21,125,
CS 4701,Haym Hirsh,A,SP22,136,
CS 4740,Cardie,B+,FA21,,
CS 4744,van Schijndel,A-,SP22,45,
CS 4750,Knepper,A-,FA19,83,
CS 4775,Williams,A,FA20,41,
CS 4780,Joachims,A-,FA21,177,
CS 4780,De Sa,A-,SP22,180,A+ given
CS 4789,Dean,A-,SP22,19,
CS 4810,Kozen,A-,SP22,38,"Neat class, Kozen is awesome"
CS 4812,Ginsparg,A-,FA21,24,
CS 4820,Shi,A-,SP20,164,
CS 4820,Van Zuylen,B,FA21,290,
CS 4820,Tardos,B+,FA19,440,
CS 4820,Kozen,B+,FA20,398,
CS 4820,Kleinberg,B+,SP21,195,
CS 4820,Chattopadhyay,B+,SP22,261,
CS 4830,Stephens-Davidowitz,A,SP21,37,
CS 4830,Noah,A,SP22,55,
CS 4850,Kleinberg,B+,SP22,50,
CS 4860,Bob Constable,B+,FA20,22,
DEA 1500,Evans,A,FA20,22,
DEA 2700,Wells,A+,FA19,388,
DEA 3510,Hedge,B,FA18,14,
DEA 4500,Zadeh,A,FA21,16,
DSOC 1101,Hirschl,A,FA20,260,
DSOC 1102,"Giroux, Enyegue",A,FA21,151,
DSOC 2010,Basu,A,SP21,47,
DSOC 2050,McMichael,A-,FA20,57,
DSOC 2090,Makki,A-,FA21,42,
DSOC 2090,Maralani,A-,SP22,159,
DSOC 2710,Sipple,A-,FA18,64,
DSOC 4940,Leonard + Paynter,A,FA20,11,"4940 is broadly ""Special topics in DSOC"" -- This median applies to the Migrations course with Paynter. Often there are other courses offered under 4940, but in FA20 it was just the one"
EAS 1180,Holycross,A,SP22,112,Rubric is determined by student
EAS 1310,Wysocki,B,FA20,28,
EAS 1310,Wysocki,B-,FA18,32,
EAS 1330,Wysocki,A-,FA18,11,Rubric usually TA-designed
EAS 1540,Monger,A-,FA19,887,
EAS 1540/60,Monger,A,FA21,,
EAS 1540/60,Monger,A+,FA20,,
EAS 1560,Monger,A+,FA20,87,
EAS 1600,Riha,A,FA21,76,
EAS 1600,Wysocki,B-,FA21,35,
EAS 1700,Ross,A,SP22,179,
EAS 2500,Pryor,B+,FA21,10,
EAS 2550,Lohman,A+,SP21,57,
EAS 2680,Lehner,A,SP22,77,
EAS 2680,DeGaetano,B+,SP19,69,
EAS 2900,Wysocki,B,SP19,17,
EAS 3050,Mahowald,B+,FA21,32,"With Ault in FA19, median was an A"
EAS 3410,Wysocki,B,FA19,14,
EAS 4470,Pendergrass,B,FA21,24,
EAS 4510,Wysocki,B,FA20,10,
EAS 4940,Mahowald,A,SP21,25,"Seminar, SP21 topic was Intro to Earth System Modeling"
ECE 2100,Shealy,A-,FA21,72,"crosslisted with ENGRD 2100, Professor Shealy's last semester teaching"
ECE 2100,Afridi,A-,SP21,53,crosslisted with ENGRD 2100
ECE 2200,Tong,A-,FA20,42,
ECE 2300,Albonesi,A-,FA20,154,crosslisted with ENGRD 2300
ECE 2300,Helbling,B+,FA21,113,crosslisted with ENGRD 2300
ECE 2300,Zhang,B+,SP21,66,
ECE 2400,Batten,A-,FA21,53,crosslisted with ENGRD 2140
ECE 2720,Krishnamurthy,A,FA21,60,Crosslisted with ENGRD 2720
ECE 2720,Wagner,B+,SP22,81,Crosslisted with ENGRD 2720
ECE 3030,Monticone,A,FA21,43,
ECE 3030,Monticone,A-,FA20,43,
ECE 3100,Zhao,B,SP22,127,
ECE 3140,Napp,A-,SP21,181,"crosslisted with CS 3420, no exams"
ECE 3140,Napp,A-,SP22,168,"crosslisted with CS 3420, no exams"
ECE 3150,El-Ghazaly,B,SP22,92,
ECE 4250,Sabuncu,A-,SP21,45,
ECE 4450,Wicker,A,FA21,49,
ECE 4450,Wicker,A-,FA20,,
ECE 4750,Delimitrou,A,FA20,74,crosslisted with CS 4420
ECON 1110,Sanders,B+,FA19,839,
ECON 1110,Sanders/Thomas,B+,FA20,861,
ECON 1110,Sanders/Thomas,B+,FA21,889,
ECON 1110,Wissink,B+,SP21,,
ECON 1110,Wissink,B+,SP22,445,
ECON 1120,Wissink,B+,FA20,283,
ECON 1120,Wissink,B+,SP21,283,
ECON 2801,Basu,A-,FA19,67,
ECON 3030,McKee,A-,FA21,,
ECON 3030,Kircher,B+,FA21,165,
ECON 3030,Kircher,B+,SP21,107,
ECON 3040,Taschereau-Dumouchel,B+,FA21,156,
ECON 3040,Taschereau-Dumouchel,B+,SP21,156,
ECON 3040,Taschereau-Dumouchel,B+,SP22,149,
ECON 3110,Diccicio,A,FA21,123,
ECON 3120,McKee,A-,SP21,161,161
ECON 3120,McKee,A-,SP22,162,cannot go wrong w/ him
ECON 3130,McKee,A-,FA21,137,goat
ECON 3130,McKee,B+,FA20,116,
ECON 3140,Stoye,B,SP22,30,
ECON 3250,Leung,A,FA20,20,
ECON 3800,Hay,A-,FA19,52,yo fuck this professor
ECON 3801,Basu,A-,FA20,,
ECON 3850,Sanders,A+,FA20,116,
ECON 4020,Denti,B+,SP22,113,
ECON 4260,Wissink,B+,FA21,70,
ECON 4660,O'Donoghue,A-,SP21,,
ECON 4660,O'Donoghue,B+,SP21,139,
ECON 4902,Kiefer,A,SP21,24,Only two graded assignments
EDUC 2410,Jeffery Perry,A,SP22,16,
EDUC 2610,Steinhall,A,FA21,86,
ENGL 1105,Various (FWS),A+,FA21,49,
ENGL 1147,Various (FWS),A,FA18,99,
ENGL 1158 (FWS: Asian American Food Writing),Rhee,A,FA21,17,
ENGL 1167 (FWS: Reading Now),Codera,A,FA21,,
ENGL 1168,Various (FWS),A,FA19,189,
ENGL 1168 (FWS: Reading Roleplaying Games),Lloyd,A,FA20,,
ENGL 1168 (Various sections),Various (FWS),A,SP21,206,
ENGL 1170,Various (FWS),A,FA19,134,
ENGL 1170 (FWS: Short Stories),Various (FWS),A,FA21,151,
ENGL 1170 (FWS: Short Stories),Various (FWS),A,SP22,124,
ENGL 1183 (FWS: Word and Image),Various (FWS),A,FA21,99,"(Personall Recommend Robert Romero, heard Briel Felton is also really good)"
ENGL 1191 (FWS: British Literature),Various (FWS),A,SP19,77,
ENGL 3705,Levine,A-,FA19,,
ENGRD 2020,Ritz,B,FA19,229,
ENGRD 2020,Moridi,B-,SP22,88,crosslisted with MAE 2020
ENGRD 2100,Afridi,A-,FA20,53,crosslisted with ECE 2100
ENGRD 2190,Duncan,B,FA19,51,
ENGRD 2190,Duncan,B,FA21,43,
ENGRD 2202,Doerschuk,B+,FA20,45,Crosslisted with BME 2000
ENGRD 2210,Pepiot,B+,FA19,184,
ENGRD 2250,Lohman,A,FA19,28,Crosslisted with EAS 2250
ENGRD 2510,Goldfarb,B+,FA20,72,Crosslisted with BEE 2510
ENGRD 2550,Fuchs,A,SP21,26,Crosslisted with AEP 2550
ENGRD 2700,Callister,A,FA21,204,
ENGRD 2700,Pender,A-,SP22,196,
ENGRD 2700,Schalekamp,B+,SP21,186,
ENGRD 3200,Cowen,B,SP20,63,crosslisted with CEE 3200
ENGRD/MAE 2210,Pepiot,B+,FA20,171,
ENGRI 1100,McMahon,A,SP22,26,crosslisted with AEP 1100
ENGRI 1100,MacMahon,B+,FA19,28,
ENGRI 1101,Brenda Dietrich,A,FA21,77,
ENGRI 1101,Schalekamp,A,SP22,44,
ENGRI 1101,Shmoys,A-,FA20,84,
ENGRI 1120,Alabi,A-,FA20,55,
ENGRI 1130,Giometto,A-,SP21,56,
ENGRI 1140,Van Dover,A-,FA19,49,
ENGRI 1140,Van Dover,B+,FA21,63,
ENGRI 1160,Hover,A,FA19,49,
ENGRI 1170,Tian,A-,FA21,58,
ENGRI 1200,Kourkoutis,B+,FA21,46,crosslisted with AEP 1200
ENGRI 1210,Albonesi,A-,SP21,183,
ENGRI 1270,Callister,A,FA20,128,
ENGRI 1270,Callister,A+,FA21,69,
ENGRI 1337,March/Luo,A,FA20,24,
ENGRI 1510,Pepiot,A,SP22,24,
ENTOM 2011,Peck & Sanderson,A,SP21,156,
FDSC 1101,Loss,A,FA21,84,
FDSC 2300,Loss,A+,SP21,66,
FDSC 2500,Regenstein,A-,FA21,55,Crosslisted with JWST 2501
FGSS 1117,Nesvaderani,A,FA20,16,
FGSS 3520,Long,A+,FA20,16,crosslisted with FREN 3520
FREN 1220,Menard,A,SP21,76,
FREN 2090,Glidja,A-,FA21,70,
FREN 2090,Glidja,A-,SP22,58,
FREN 2095,Menard,A,FA21,20,
FREN 2180,Torea,A,FA20,19,
FREN 2320,Menard,A,SP21,13,
GERST 1109,Mueller,A,FA20,68,
GERST 1109 (From fairy tale to uncanny),McQuade,A-,SP21,16,"Great content, great instructor"
"GERST 1170 (FWS: Marx, Nietzsche, Freud)",Yigit,A,FA21,32,
GERST 1210,Lischke,A-,FA21,40,
GERST 1220,Lischke,A-,SP22,33,
GERST 1220,Matthias,B+,FA19,16,
GERST 2000,McBride,A,SP21,12,
GERST 2020,McBride,A,FA20,,
GOVT 1111,Kriner,B+,SP21,247,king
GOVT 1817,Kreps,B+,FA21,84,
GOVT 2225,Haskins,A,FA18,249,
GOVT 2432,Marmor,B+,FA21,66,crosslisted with PHIL 2430
GOVT 2897,Evangelista,A,SP22,41,
GOVT 3112,Bateman,A-,FA21,39,
GOVT 3121,Marguiles,A-,FA21,119,crosslisted with AMST 3121
GOVT 3174,Wilmers,B,SP22,14,Crosslisted with SOC 3170
GOVT 3281,Chutkow,A-,SP21,135,
GOVT 3303,Lowell,A-,FA19,113,
GOVT 3683,Young,A,FA20,25,
GOVT 3867,Ward,,FA20,,
GOVT 4000,Various,A-,FA19,45,Gov Major Seminar. The total of 45 students is divided across iirc 3-4 courses under the same number. Each class has max 15 students.
HADM 1150,Tang,B+,FA21,123,
HADM 1210,Ritz/Yeo,B,SP20,216,
HADM 1210,McAusland,B+,FA19,160,
HADM 1350,Roberts,A-,SP20,145,
HADM 1350,McCarthy,B+,FA16,154,
HADM 1360,Pezzotti,A-,FA18,142,No longer teaching this class
HADM 1360,Ozanne,A-,SP21,122,
HADM 1410,Alexander,A-,SP21,163,
