,Dept,Number,Course_Name,Professor_x,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Unnamed: 0.1,Professor_y,Median Grade,Semester (Ex: SP21),# of Students,Notes,Semester,Pre/Coreqs_Clean,ID,Name,Number_of_Ratings,Average_Rating,Difficulty,Take Again,CU_Reviews_Difficulty,CU_Reviews_Rating,CU_Reviews_Workload
0,AAS,2130,Introduction to Asian American History,Derek Chang,11:25AM,12:40PM,To Be Assigned,"An introductory history of Chinese, Japanese, Asian Indians, Filipinos, and Koreans in the United States from the mid-nineteenth century to the 1990s. Major themes include racism and resistance, labor migration, community formation, imperialism, and struggles for equality.",,Fall.,AAS 2130,1.0,Chang,A,FA21,52.0,"crosslisted with AMST 2640, HIST 2640",0.0,[],333013.0,Derek Chang,25.0,4.0,2.0,78.5714,1.67,4.0,2.33
1,CS,4701,Practicum in Artificial Intelligence,Bart Selman,,,,"Artificial Intelligence project class. Possible projects topics include knowledge representation systems, search procedures, game-playing, automated reasoning, concept learning, reinforcement learning, neural nets, genetic algorithms, planning, natural language processing, computer vision. Should be taken only by students with significant experience in Artificial Intelligence, such as those who have already taken CS 4700, CS 4780, CS 4670, or CS 4740.","Prerequisite: CS 4670, CS 4700, CS 4740, or CS 4780.","Fall, Spring.",CS 4701,215.0,Selman,A,FA21,125.0,,0.0,[],154695.0,Bart Selman,17.0,2.1,2.5,0.0,1.0,2.67,1.0
2,CS,4780,Introduction to Machine Learning,Anil Damle,09:40AM,10:55AM,To Be Assigned,"The course provides an introduction to machine learning, focusing on supervised learning and its theoretical foundations. Topics include regularized linear models, boosting, kernels, deep networks, generative models, online learning, and ethical questions arising in ML applications.","Prerequisite: probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700) and linear algebra (e.g. MATH 2940) and calculus (e.g. MATH 1920) and programming proficiency (e.g. CS 2110).","Fall, Spring.",CS 4780,219.0,Joachims,A-,FA21,309.0,,0.0,[],2473568.0,Anil Damle,4.0,5.0,3.5,100.0,3.43,4.0,3.26
3,DEA,4500,Policy Meets Design: High-Impact Facilities of the 21st Century,Rana Zadeh,02:45PM,04:00PM,To Be Assigned,"Active participation from local and global leads, industr, and healthcare providers, students examine how well-designed environments and policies empower people, organizations, and communities to achieve their health-related operational and business objectives.  Students apply the lessons from high-impact environments to their specific area of interest (e.g. senior living, healthcare, hospitality, education, housing, landscape, and urban planning).",,Fall.,DEA 4500,228.0,Zadeh,A,FA21,16.0,,0.0,[],,,,,,,,,
4,EAS,1600,Environmental Physics,Susan Riha,,,To Be Assigned,"Fundamentals of radiation, thermodynamics, and mechanics will be introduced and used to understand energy and mass transfers in natural and built environments. Students will describe, identify and use basic principles of physics to discuss and assess renewable energy systems and solve environmental physics problems, using a physics vocabulary and appropriately quantifying results. The course is offered in the spring semester as a flipped class, meeting twice weekly. The course is offered in the fall semester as a web-based, online course and covers the same material.",Prerequisite: mathematics through high school trigonometry.,"Fall, Spring.",EAS 1600,242.0,Wysocki,B-,FA21,35.0,,0.0,[],2432925.0,Susan Riha,0.0,0.0,0.0,-1.0,3.67,2.6,3.4
5,EAS,3050,Climate Dynamics,Natalie Mahowald,01:30PM,02:20PM,To Be Assigned,"Discusses processes that determine climate and contribute to its change, including atmospheric radiation, ocean circulation, and atmospheric dynamics. Investigates contemporary climate change issues and discusses them in the context of natural variability of the system.",Prerequisite: two semesters of calculus and one semester of physics.,Fall.,EAS 3050,247.0,Mahowald,B+,FA21,32.0,"With Ault in FA19, median was an A",0.0,[],,,,,,,,,
6,ECE,2100,Introduction to Circuits for Electrical and Computer Engineers,Clifford Pollock,11:20AM,12:10PM,To Be Assigned,"This course is an introduction to electronic circuits. We start with the basic quantities used to characterize circuit operation (like current, voltage, and power) and then enforce several physical laws to form the basis of our approach to circuit analysis. Networks comprising passive circuit elements such as resistors, inductors, and capacitors will be examined under constant dc, transient, and sinusoidal steady-state conditions. Active components including transistors and Op-Amps will be introduced and used to build simple amplifiers and switching power converters. Many of these ideas will be unified mathematically through the use of Laplace transforms and associated transfer functions. In the lab part of the course, we will learn how to use modern instruments to test circuits, and explore the concepts from lecture applied to real circuits. Finally, we will develop some simple modeling software in MATLAB to numerically predict the results from analysis and experiment.",Prerequisite: MATH 1920 or PHYS 1112. Corequisite: MATH 2930 or PHYS 2213.,"Fall, Spring.",ECE 2100,253.0,Shealy,A-,FA21,72.0,"crosslisted with ENGRD 2100, Professor Shealy's last semester teaching",0.0,[],594443.0,Clifford Pollock,9.0,4.3,3.2,100.0,4.4,3.0,3.0
7,MATH,1910,Calculus for Engineers,Clifford Pollock,08:00AM,08:50AM,To Be Assigned,"Essentially a second course in calculus. Topics include techniques of integration, finding areas and volumes by integration, exponential growth, partial fractions, infinite sequences and series, tests of convergence, and power series.","Prerequisite: three years high school mathematics, including trigonometry and logarithms, and at least one course in differential and integral calculus or equivalent AP credit.","Fall, Spring, Summer.",MATH 1910,464.0,Ruina,B,FA21,132.0,,0.0,[],594443.0,Clifford Pollock,9.0,4.3,3.2,100.0,3.53,2.54,2.69
8,ECE,2300,Digital Logic and Computer Organization,David Albonesi,11:25AM,12:40PM,To Be Assigned,"This course provides an introduction to the design and implementation of digital circuits and microprocessors. Topics include transistor network design, Boolean algebra, combinational circuits, sequential circuits, finite state machine design, processor pipelines, and memory hierarchy. Design methodology using both discrete components and hardware description languages is covered in the laboratory portion of the course.",Prerequisite: CS 1110 or CS 1112.,"Fall, Spring.",ECE 2300,256.0,Helbling,B+,FA21,113.0,crosslisted with ENGRD 2300,0.0,[],1582680.0,David Albonesi,21.0,4.1,3.0,85.7143,3.14,3.64,3.36
9,ECE,2400,Computer Systems Programming,Christopher Batten,10:10AM,11:00AM,To Be Assigned,"Computer systems programming involves developing software to connect the low-level computer hardware to high-level, user-facing application software. This course will provide a strong foundation in the principles, practices, and art of computer systems programming using the C and C++ programming languages. Students will learn procedural programming in C and how to theoretically analyze and practically implement basic data structures and algorithms. Students will transition to C++ to explore object-oriented, generic, functional, and concurrent programming before exploring advanced data structures and algorithms involving trees, tables, and graphs. Students will explore systems programming using the POSIX standard library. The course includes a series of programming assignments for students to put the principles they have learned into practice. For more information, see http://ece2400.ece.cornell.edu.",Prerequisite: CS 1110 (preferred) or CS 1112.,Fall.,ECE 2400,257.0,Batten,A-,FA21,53.0,crosslisted with ENGRD 2140,0.0,[],1908365.0,Christopher Batten,13.0,5.0,3.4,100.0,3.6,4.5,4.5
10,ECE,2720,Data Science for Engineers,Vikram Krishnamurthy,02:45PM,04:00PM,To Be Assigned,"An introduction to data science for engineers. The data science workflow: acquisition and cleansing, exploration and modeling, prediction and decision making, visualization and presentation. Techniques for different steps in the workflow including outlier detection, regression, change-point detection, and classification. An introduction to probability, focusing on Gaussian distributions and linear models. Methods for combining domain-agnostic data analysis tools with the types of domain-specific knowledge that are common in engineering. Programming projects in Python.",Prerequisite: MATH 1920 and either CS 1110 or CS 1112.,"Fall, Spring.",ECE 2720,258.0,Krishnamurthy,A,FA21,60.0,,0.0,[],2410214.0,Vikram Krishnamurthy,5.0,4.2,3.8,80.0,4.0,4.0,3.0
11,ECE,4450,Computer Networks and Telecommunications,A. Kevin Tang,01:00PM,02:15PM,To Be Assigned,"This is a senior-level course in information networking with an emphasis on wireless technology. Examples of topics include: 5G cellular, the latest WiFi standards, Bluetooth, routing and switching, congestion control, network security, and user privacy. Though the focus will be on communication networking technologies, downstream legal and social issues that arise from design decisions will be discussed.",,"Fall, Spring.",ECE 4450,263.0,Wicker,A,FA21,49.0,,0.0,[],,,,,,,3.0,2.0,2.0
