,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Description,Pre/coreqs,Dept + Number,Median Grade,Semester (Ex: SP21),Semester,Pre/Coreqs_Clean,Number_of_Ratings,Average_Rating,Difficulty,CU_Reviews_Difficulty,CU_Reviews_Rating,CU_Reviews_Workload
0,AEM,2010,Spreadsheet Modeling for Management and Economics,Reza Moghimi,01:00PM,02:15PM,"This course will place a strong emphasis on applied decision making in the business world using Excel as a business analytics tool. This is not just a ""how to use Excel"" course. We will cover the theory behind our decisions and apply the tools and methods to various business scenarios throughout the semester. Understanding the value of such skills, this course will introduce students to methods used to navigate tools and applications, or typical business scenarios where such capabilities can be leveraged in business. Students dedicated to success in this course can expect to achieve an intermediate to advanced knowledge of business analytic skills and Excel. Students will enjoy a thorough exposure to real world applications and learn to demonstrate these new capabilities in a business environment. AEM 2010 will help students understand the dynamics of using Excel to solve optimization problems, forecast future outcomes using assumptions and projections, and evaluate problems that involve uncertainty in order to inform business strategy and quantitative decision-making. In business analytic vernacular, students will learn to leverage descriptive, predictive and prescriptive analytic methods using data. The course also covers Text Management and Analytics.",,AEM 2010,A-,FA21,0.0,[nan],4.0,5.0,2.3,1.44,4.38,1.88
1,FREN,2090,French Intermediate Composition and Conversation I,Flavien Glidja,09:05AM,09:55AM,"This intermediate-level course is designed for students who want to focus on their speaking and writing skills. Emphasis is placed on strengthening of grammar skills, expansion of vocabulary and discourse levels to increase communicative fluency and accuracy. The course also provides continued reading and listening practice as well as development of effective language learning strategies.","Prerequisite: FREN 1230, LPF score 56-64, or SAT II 600-680 or AP French language 4, or CASE Q.",FREN 2090,A-,FA21,0.0,['FREN 1230'],19.0,3.4,3.6,2.0,4.0,2.5
2,FREN,2095,French Intermediate Composition and Conversation II,Claire Menard,10:10AM,11:00AM,"This advanced-intermediate course is highly recommended for students planning to study abroad as it aims to develop the writing and speaking skills needed to function in a French speaking university environment. A comprehensive review of fundamental and advanced grammatical structures is integrated with the study of selected texts (short stories, literary excerpts, poems, articles from French periodicals, videos) all chosen for thematic or cultural interest. Students write weekly papers, participate in class discussions of the topics at hand, and give at least one oral presentation in class.","Prerequisite: FREN 2070, FREN 2080, or FREN 2090 or CASE Q+.",FREN 2095,A,FA21,0.0,"['FREN 2080', 'FREN 2090']",,,,3.0,4.0,
3,PSYCH,3420,"Human Perception: Application to Computer Graphics, Art, and Visual Display",David Field,11:25AM,12:40PM,"Our present technology allows us to transmit and display information through a variety of media. To make the most of these media channels, it is important to consider the limitations and abilities of the human observer. The course considers a number of applied aspects of human perception with an emphasis on the display of visual information. Topics include ""three-dimensional"" display systems, color theory, spatial and temporal limitations of the visual systems, attempts at subliminal communication, and ""visual"" effects in film and television.",,PSYCH 3420,A-,FA21,0.0,[nan],8.0,4.2,3.0,2.2,5.0,1.33
4,PHIL,2310,Introduction to Deductive Logic,Harold Hodes,01:30PM,02:20PM,"Covers sentential languages, the truth-functional connectives, and their logic; first-order languages, the quantifiers ""every"" and ""some,"" and their logic.",,PHIL 2310,A-,FA21,0.0,[nan],34.0,2.5,3.9,,,
5,LING,1101,Introduction to Linguistics,Helena Aparicio Terrasa,10:10AM,11:00AM,"Overview of the science of language, especially its theoretical underpinnings, methods, and major findings. Areas covered include: the relation between sound and meaning in human languages, social variation in language, language change over time, universals of language, and the mental representation of linguistic knowledge. Students are introduced to a wide variety of language phenomena, drawn not only from languages resembling English, but also from many that appear to be quite unlike English, such as those native to the Americas, Africa, Asia, Australia, and the South Pacific.",,LING 1101,A,FA21,0.0,[nan],,,,2.44,4.21,2.21
6,PSYCH,1102,Introduction to Cognitive Science,Shaun Nichols,11:25AM,12:40PM,"This course provides an introduction to the science of the mind. Everyone knows what it's like to think and perceive, but this subjective experience provides little insight into how minds emerge from physical entities like brains. To address this issue, cognitive science integrates work from at least five disciplines: Psychology, Neuroscience, Computer Science, Linguistics, and Philosophy. This course introduces students to the insights these disciplines offer into the workings of the mind by exploring visual perception, attention, memory, learning, problem solving, language, and consciousness. ",,PSYCH 1102,A,FA21,0.0,[nan],,,,3.2,2.25,3.25
7,GERST,1210,Exploring German Contexts I,Grit Matthias Phelps,10:10AM,11:00AM,"Students develop basic abilities in listening, reading, writing, and speaking German in meaningful contexts through interaction in small group activities. Course materials including videos, short articles, and songs provide students with varied perspectives on German language, culture, and society.",,GERST 1210,A-,FA21,0.0,[nan],1.0,5.0,3.0,2.5,4.0,3.0
8,GOVT,4000,Major Seminar,Isabel Perera,01:30PM,04:30PM,"Major seminars in the Government department are small, advanced courses that cover an important theme or topic in contemporary politics in depth. Courses place particular emphasis on careful reading and classroom discussion, and students can expect to write a significant research paper. The enrollment limit is 15 students. These courses are open to all Cornell students, but preference in admissions is given to seniors over juniors, and to Government majors over other students.  Topics vary by semester and section.",,GOVT 4000,A-,FA21,0.0,[nan],,,,,,
9,CHEM,3580,Organic Chemistry for the Life Sciences,Mikail Abbasov,09:05AM,09:55AM,"The course emphasizes the important classes of organic compounds, with particular emphasis on their three-dimensional structures, mechanisms of their characteristic reactions, their synthesis, methods for their identification, and their applications in modern technology and medicine.",Prerequisite: CHEM 3570 or permission of instructor. Recommended corequisite: CHEM 2510.,CHEM 3580,B,FA21,0.0,['CHEM 2510'],,,,4.17,2.5,3.0
